Unnamed: 0,book_tod,book_dow,book_category,book_staff,last_category,last_staff,last_day_services,last_receipt_tot,last_dow,last_tod,last_noshow,last_prod_flag,last_cumrev,last_cumbook,last_cumstyle,last_cumcolor,last_cumprod,last_cumcancel,last_cumnoshow,noshow,recency
467,morning,Tuesday,STYLE,JJ,MISC,JJ,1,0.0,Friday,morning,0,0,60,3,1,0,0,0,0,0,18
468,morning,Friday,MISC,JJ,STYLE,JJ,1,60.0,Tuesday,morning,0,0,120,4,2,0,0,0,0,0,17
469,morning,Thursday,STYLE,JJ,MISC,JJ,1,0.0,Friday,morning,0,0,120,5,2,0,0,0,0,0,20
472,morning,Friday,STYLE,JJ,MISC,JJ,1,0.0,Friday,morning,0,0,180,8,3,0,0,1,0,0,14
476,evening,Thursday,STYLE,BECKY,STYLE,SINEAD,1,30.0,Wednesday,evening,0,0,30,1,1,0,0,0,0,0,15
477,afternoon,Wednesday,STYLE,KELLY,STYLE,BECKY,1,68.45,Thursday,evening,0,1,80,2,2,0,1,0,0,0,13
478,afternoon,Thursday,STYLE,BECKY,STYLE,KELLY,1,55.0,Wednesday,afternoon,0,0,135,3,3,0,1,0,0,0,15
479,evening,Wednesday,STYLE,JJ,STYLE,BECKY,1,50.0,Thursday,afternoon,0,0,185,4,4,0,1,0,0,0,20
480,evening,Wednesday,STYLE,JJ,STYLE,BECKY,1,50.0,Thursday,afternoon,0,0,185,4,4,0,1,0,0,0,20
483,morning,Saturday,STYLE,JJ,STYLE,JJ,1,82.0,Tuesday,morning,0,0,82,1,1,0,0,0,0,0,46
484,morning,Saturday,COLOR,JOANNE,STYLE,JJ,1,82.0,Tuesday,morning,0,0,82,1,1,0,0,0,0,0,46
485,evening,Thursday,MISC,JJ,COLOR,JOANNE,2,242.0,Saturday,morning,0,1,324,3,2,1,2,0,0,0,26
491,afternoon,Wednesday,STYLE,JJ,STYLE,JJ,1,82.0,Thursday,morning,0,0,82,1,1,0,0,0,0,0,48
492,morning,Tuesday,MISC,JJ,STYLE,JJ,1,102.0,Wednesday,afternoon,0,0,184,2,2,0,0,0,0,0,34
493,afternoon,Thursday,STYLE,JJ,MISC,JJ,1,0.0,Tuesday,morning,0,0,184,3,2,0,0,0,0,0,16
495,morning,Saturday,STYLE,JJ,STYLE,JJ,1,132.4,Saturday,morning,0,1,82,1,1,0,1,0,0,0,49
503,morning,Wednesday,STYLE,JJ,STYLE,JJ,1,82.0,Tuesday,morning,0,0,82,1,1,0,0,0,0,0,78
507,morning,Saturday,COLOR,KELLY,COLOR,KELLY,1,45.0,Saturday,morning,0,0,45,1,0,1,0,0,0,0,28
511,evening,Tuesday,STYLE,BECKY,STYLE,BECKY,1,30.0,Friday,afternoon,0,0,30,1,1,0,0,0,0,0,46
514,afternoon,Saturday,STYLE,BECKY,STYLE,BECKY,1,60.0,Saturday,morning,0,0,60,1,1,0,0,0,0,0,56
515,morning,Saturday,COLOR,JOANNE,STYLE,BECKY,1,60.0,Saturday,morning,0,0,60,1,1,0,0,0,0,0,56
